salary,experience_total
53898,0.0
48000,0.0
52897,0.0
54084,0.0
48000,0.0
34018,0.0
19670,0.0
50831,0.0
50831,0.0
24900,0.0
50831,0.0
53550,0.0
54557,0.0
55396,0.0
51550,0.0
54257,0.0
49706,0.0
49706,0.0
30613,0.0
54250,0.0
51000,0.0
30000,0.0
54084,0.0
53584,0.0
53900,0.0
51550,0.0
50504,0.0
54084,0.0
62158,0.0
54084,0.0
54084,0.0
51550,0.0
45772,0.0
25416,0.0
45772,0.0
56884,0.0
66625,0.0
53053,0.0
54250,0.0
49706,0.0
49706,0.0
36000,0.0
53550,0.0
54084,0.0
51550,0.0
54080,0.0
53584,0.0
57221,0.0
53900,0.0
56289,0.0
25380,0.0
52835,0.0
52835,0.0
56289,0.0
52399,0.0
48659,0.0
48659,0.0
50565,0.0
53900,0.0
51664,0.0
56289,0.0
57080,0.0
59445,0.0
58220,0.0
57080,0.0
56080,0.0
60710,0.0
50785,0.0
82610,0.0
65153,0.0
56080,0.0
53245,0.0
29827,0.0
50785,0.0
45772,0.0
45772,0.0
56884,0.0
56884,0.0
18000,0.0
54659,0.0
49706,0.0
73724,0.0
51550,0.0
56884,0.0
53900,0.0
56080,0.0
54501,0.0
56289,0.0
52835,0.0
56080,0.0
56289,0.0
58178,0.0
56080,0.0
57221,0.0
57221,0.0
50000,0.0
57221,0.0
50000,0.0
50000,0.0
48175,0.0
38540,0.0
55175,0.0
55175,0.0
61625,0.0
54545,0.0
51500,0.0
53925,0.0
53925,0.0
60610,0.0
53925,0.0
51500,0.0
52425,0.0
50000,0.0
50000,0.0
56289,0.0
15734,0.0
46272,0.0
103280,0.0
52425,0.0
92500,0.0
50000,0.0
61865,0.0
25416,0.0
25380,0.0
100,0.0
54063,0.0
25416,0.0
53925,0.0
56013,0.0
71077,0.0
25416,0.0
50831,0.0
57352,0.0
50831,0.0
50000,0.0
50000,0.0
60171,0.0
50000,0.0
59053,0.0
57811,0.0
23530,0.0
92415,0.0
53584,0.0
53584,0.0
134000,0.0
56884,0.0
57884,0.0
53584,0.0
53584,0.0
56884,0.0
53584,0.0
49706,0.0
57384,0.0
55380,0.0
51223,0.0
55380,0.0
51163,0.0
47191,0.0
25416,0.0
53457,0.0
94415,0.0
53584,0.0
56884,0.0
50563,0.0
49841,0.0
62265,0.0
57000,0.0
48000,0.0
53550,0.0
48000,0.0
61625,0.0
61625,0.0
56751,0.0
53649,0.0
54063,0.0
53649,0.0
23530,0.0
40000,0.0
50891,0.0
20726,0.0
51815,0.0
51815,0.0
50031,0.0
87000,0.0
50831,0.0
60643,0.0
56289,0.0
55175,0.0
50785,0.0
55850,0.0
56300,0.0
55850,0.0
60082,0.0
54921,0.0
53245,0.0
48859,0.0
62669,0.0
52835,0.0
47989,0.0
57856,0.0
56832,0.0
74844,0.0
55750,0.0
52316,0.0
57800,0.0
60247,0.0
53836,0.0
65888,0.0
57127,0.0
63488,0.0
63950,0.0
27875,0.0
64632,0.0
59136,0.0
65888,0.0
57529,0.0
53326,0.0
53304,0.0
53326,0.0
53900,0.0
28765,0.0
51012,0.0
55189,0.0
46840,0.0
65035,0.0
52835,0.0
55750,0.0
59457,0.0
34272,0.0
56970,0.0
51900,0.0
73742,0.0
48459,0.0
29696,0.0
53836,0.0
51012,0.0
93000,0.0
48545,0.0
48900,0.0
61594,0.0
56602,0.0
51012,0.0
51012,0.0
51012,0.0
51175,0.0
22075,0.0
53836,0.0
31972,0.0
137000,0.0
51012,0.0
53205,0.0
49190,0.0
51012,0.0
53900,0.0
49145,0.0
48545,0.0
33982,0.0
48545,0.0
48545,0.0
42917,0.0
55536,0.0
59034,0.0
54177,0.0
51012,0.0
54713,0.0
167500,0.0
65471,0.0
51745,0.0
45000,0.0
51367,0.0
52531,0.0
51012,0.0
53760,0.0
55750,0.0
39162,0.0
67996,0.0
50360,0.0
83918,0.0
50360,0.0
51800,0.0
51800,0.0
27875,0.0
51800,0.0
50785,0.0
57080,0.0
50785,0.0
53240,0.0
64482,0.0
51195,0.0
65186,0.0
56080,0.0
56080,0.0
33758,0.0
59228,0.0
50785,0.0
52835,0.0
53900,0.0
50785,0.0
54080,0.0
59654,0.0
56080,0.0
61330,0.0
63848,0.0
53245,0.0
51214,0.0
59228,0.0
60517,0.0
50785,0.0
80766,0.0
50114,0.0
15364,0.0
50614,0.0
44055,0.0
53802,0.0
50614,0.0
55353,0.0
53245,0.0
49242,0.0
7200,0.0
57832,0.0
55353,0.0
63633,0.0
67135,0.0
67855,0.0
30452,0.0
63431,0.0
58153,0.0
58220,0.0
53660,0.0
58720,0.0
48150,0.0
26000,0.0
54320,0.0
55610,0.0
57120,0.0
58250,0.0
63894,0.0
47989,0.0
76263,0.0
55610,0.0
127195,0.0
82000,0.0
129206,0.0
10400,0.0
54357,0.0
54657,0.0
53900,0.0
55761,0.0
38197,0.0
69954,0.0
49409,0.0
52898,0.0
50565,0.0
75955,0.0
61594,0.0
61171,0.0
55610,0.0
57089,0.0
50755,0.0
59331,0.0
131630,0.0
48239,0.0
53294,0.0
54320,0.0
71306,0.0
62644,0.0
48660,0.0
32592,0.0
115000,0.0
